Altium Designer Pick and Place Locations
\\vmware-host\Shared Folders\home\Altium\Projects\Project Outputs for gpn-badge\Pick Place for gpn-badge.csv

========================================================================================================================
File Design Information:

Date:       30/04/17
Time:       02:29
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","ComponentKind","Height(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Variation"
"B1","18650-Holder","BottomLayer","18650-Holder-SMD","","0.000","81.900","180","","Standard","0.000","0.000","81.900","0.000","123.150","Fitted"
"R13","LDR","TopLayer","LDR-5mm","","-11.608","76.503","90","","Standard","0.000","-11.608","76.503","-11.608","74.803","Fitted"
"C36","1u 10V","TopLayer","C-0603-M","Chip Resistor, Body 1.6x0.8mm, IPC Medium Density","-6.198","148.006","90","Capacitor 1uF 10V","Standard","0.600","-6.198","148.006","-6.198","147.206","Fitted"
"Q8","AO3400","TopLayer","AO-SOT23-3_V","SOT23, 3-Leads, Body 3.016x2.8mm, Pitch 0.95mm","-6.700","144.300","0","N-channel Enhancement Mode Field-Effect Transistor; 5.8A/30V","Standard","0.000","-6.700","144.300","-7.650","143.050","Fitted"
"U4","CD4051BM","TopLayer","D0016A_M","SOIC, 16-Leads, Body 10x4mm, Pitch 1.27mm, IPC Low Density","-6.604","68.096","90","CMOS Single 8-Channel Analog Multiplexer/Demultiplexer with Logic-Level Conversion, D0016A, TUBE","Standard","1.750","-6.604","68.096","-11.049","65.271","Fitted"
"Q3","NPN_MMBT3904","TopLayer","SOT23-3","SOT23, 3 pin","-4.191","50.189","270","Transistor SMD NPN 40V 0.2A 250mW SOT-23","Standard","1.003","-4.191","50.189","-3.241","51.339","Fitted"
"U5","ESP8266EX","TopLayer","QFN32-5x5mm","","-5.000","41.500","135","ESP8266EX","Standard","0.000","-5.000","41.500","-4.470","38.495","Fitted"
"L1","L","TopLayer","L","","12.319","74.319","270","","Standard","0.000","12.319","74.319","12.319","75.819","Fitted"
"IC3","BL8530","TopLayer","SOT89-150P409X160-3N","SOT89, 3-Leads, Body 4.50x2.45mm, Pitch 1.50mm, Lead Span 4.1mm, IPC Medium Density","7.009","72.260","90","","Standard","1.600","7.009","73.960","5.509","72.160","Fitted"
"D2","B230A-13-F","TopLayer","DIODE-SMA","","10.922","69.493","270","B230A-13-F","Standard","0.000","10.922","69.493","12.922","69.493","Fitted"
