Altium Designer Pick and Place Locations
\\vmware-host\Shared Folders\home\Altium\Projects\Project Outputs for gpn-badge\Pick Place for gpn_panel.csv

========================================================================================================================
File Design Information:

Date:       30/04/17
Time:       02:27
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","ComponentKind","Height(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Variation"
"Designator1","Comment","TopLayer","Fiducial","Fiducial","5.000","162.000","0","","Standard","1.000","5.000","162.000","5.000","162.000","Fitted"
"Designator2","Comment","TopLayer","Fiducial","Fiducial","310.000","162.000","0","","Standard","1.000","309.000","162.000","310.000","162.000","Fitted"
"Designator3","Comment","TopLayer","Fiducial","Fiducial","310.000","1.750","0","","Standard","1.000","310.000","1.750","310.000","1.750","Fitted"
"Designator4","Comment","TopLayer","Fiducial","Fiducial","5.000","1.750","0","","Standard","1.000","5.000","1.750","5.000","1.750","Fitted"
"B1","18650-Holder","BottomLayer","18650-Holder-SMD","","16.627","85.527","180","","Standard","0.000","16.627","85.527","16.627","126.777","Fitted"
"R13","LDR","TopLayer","LDR-5mm","","5.020","80.130","90","","Standard","0.000","5.020","80.130","5.020","78.430","Fitted"
"C36","1u 10V","TopLayer","C-0603-M","Chip Resistor, Body 1.6x0.8mm, IPC Medium Density","10.430","151.633","90","Capacitor 1uF 10V","Standard","0.600","10.430","151.633","10.430","150.833","Fitted"
"Q8","AO3400","TopLayer","AO-SOT23-3_V","SOT23, 3-Leads, Body 3.016x2.8mm, Pitch 0.95mm","9.927","147.927","0","N-channel Enhancement Mode Field-Effect Transistor; 5.8A/30V","Standard","0.000","9.927","147.927","8.977","146.677","Fitted"
"U4","CD4051BM","TopLayer","D0016A_M","SOIC, 16-Leads, Body 10x4mm, Pitch 1.27mm, IPC Low Density","10.023","71.723","90","CMOS Single 8-Channel Analog Multiplexer/Demultiplexer with Logic-Level Conversion, D0016A, TUBE","Standard","1.750","10.023","71.723","5.578","68.898","Fitted"
"Q3","NPN_MMBT3904","TopLayer","SOT23-3","SOT23, 3 pin","12.436","53.816","270","Transistor SMD NPN 40V 0.2A 250mW SOT-23","Standard","1.003","12.436","53.816","13.386","54.966","Fitted"
"U5","ESP8266EX","TopLayer","QFN32-5x5mm","","11.627","45.127","135","ESP8266EX","Standard","0.000","11.627","45.127","12.158","42.122","Fitted"
"L1","L","TopLayer","L","","28.946","77.946","270","","Standard","0.000","28.946","77.946","28.946","79.446","Fitted"
"IC3","BL8530","TopLayer","SOT89-150P409X160-3N","SOT89, 3-Leads, Body 4.50x2.45mm, Pitch 1.50mm, Lead Span 4.1mm, IPC Medium Density","23.636","75.887","90","","Standard","1.600","23.636","77.587","22.136","75.787","Fitted"
"D2","B230A-13-F","TopLayer","DIODE-SMA","","27.549","73.120","270","B230A-13-F","Standard","0.000","27.549","73.120","29.549","73.120","Fitted"
"C31","47u 6.3V","TopLayer","C-0805-M","Chip Resistor, Body 2.0x1.3mm, IPC Medium Density","22.215","73.374","0","Capacitor 47u 6.3V","Standard","0.700","22.215","73.374","21.265","73.374","Fitted"
"C30","47u 6.3V","TopLayer","C-0805-M","Chip Resistor, Body 2.0x1.3mm, IPC Medium Density","28.210","81.985","180","Capacitor 47u 6.3V","Standard","0.700","28.210","81.985","29.160","81.985","Fitted"
"LCD1","LCD","TopLayer","LCD","","14.824","117.139","0","","Standard","0.700","0.424","107.139","22.624","117.139","Fitted"
"ANT1","ESP-ANTENNA","TopLayer","ESP8266_ANT","ESP8266_ANT","17.728","40.067","360","","Standard","0.700","18.482","38.526","18.083","43.556","Fitted"
"C21","10u 6,3V","TopLayer","C-0603-M","","13.727","40.627","135","Capacitor 10uF 6,3V","Standard","0.000","13.727","40.627","14.293","40.062","Fitted"
"U7","W25Q64","TopLayer","SOIC127P790X100-8N","SOIC, 8-Leads, Body 5.28x5.28mm, Pitch 1.27mm, IPC Medium Density","19.802","51.327","90","8MB / 64Mib Flash","Standard","1.000","19.802","51.327","17.897","47.777","Fitted"
"R11","12k","TopLayer","R-0603-M","Chip Resistor, Body 1.6x0.8mm, IPC Medium Density","19.777","60.776","270","Resistor 12k","Standard","0.600","19.777","60.776","19.777","61.576","Fitted"
"M1","VIBRATOR","TopLayer","VIBRATOR_SMD","","25.304","148.356","180","rawr","Standard","0.700","31.954","150.406","23.054","150.006","Fitted"
"D1","BAT54T1G","TopLayer","SOD123","","17.389","148.406","90","","Standard","0.700","17.389","148.406","17.389","146.556","Fitted"
